archivo_a,archivo_b,similitud,tamanio_a_kb,extension
ficherocifrado.txt,ThirdPartyNotices.txt,50.93,0.02,.txt
ficherocifrado.txt,CodeHelper.md,65.44,0.02,.txt
ficherocifrado.txt,README.md,65.18,0.02,.txt
ficherocifrado.txt,README.md,63.98,0.02,.txt
ficherocifrado.txt,README.md,54.06,0.02,.txt
ficherocifrado.txt,LICENSE.txt,55.12,0.02,.txt
ficherocifrado.txt,SECURITY.md,51.34,0.02,.txt
ficherocifrado.txt,ThirdPartyNotices.txt,49.74,0.02,.txt
ficherocifrado.txt,README.md,53.95,0.02,.txt
ficherocifrado.txt,README.md,66.88,0.02,.txt
ficherocifrado.txt,README.md,68.68,0.02,.txt
ficherocifrado.txt,README.md,65.38,0.02,.txt
ficherocifrado.txt,README.md,57.81,0.02,.txt
ficherocifrado.txt,README.md,62.64,0.02,.txt
ficherocifrado.txt,README.md,54.41,0.02,.txt
ficherocifrado.txt,LICENSE.txt,56.45,0.02,.txt
ficherocifrado.txt,README.md,67.52,0.02,.txt
ficherocifrado.txt,README.md,60.43,0.02,.txt
ficherocifrado.txt,README.md,59.81,0.02,.txt
ficherocifrado.txt,README.md,67.49,0.02,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,94.26,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,93.75,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,99.07,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,92.74,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,93.44,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,99.17,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,52.23,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,95.29,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,94.81,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,90.71,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,99.25,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,94.28,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,92.54,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,93.77,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,93.94,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,90.01,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 5. Estructura del proyecto  Maquetación  Usabilidad.txt,89.22,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 1. Evaluar ideas - Presentacion del proyecto.txt,86.72,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,github-recovery-codes.txt,57.8,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 6. PruebasTesteo de código.txt,90.83,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,Ejerpublica.java,40.33,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,Ejercicio02_Traspasos.java,63.08,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,Ejercicio03_Calculadora.java,64.93,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,Ejercicio01_Series.java,59.51,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,Ejercicio4_ProgModular.java,64.1,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,ThirdPartyNotices.txt,49.52,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,CodeHelper.md,51.42,0.31,.txt
receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,README.md,51.86,0.31,.txt
